id,price_doc
30474,5626456.0
30475,8387743.5
30476,5523741.5
30477,6177422.5
30478,5272861.5
30479,9608623.0
30480,4502182.5
30481,4419618.5
30482,4961433.0
30483,4996352.5
30484,6425929.0
30485,5133114.0
30486,3735749.5
30487,3941130.75
30488,6555267.5
30489,6166917.5
30490,21657126.0
30491,19404546.0
30492,5649026.5
30493,13111135.0
30494,7048925.0
30495,10969417.0
30496,8740875.0
30497,9114130.0
30498,4698005.5
30499,7415912.5
30500,11434465.0
30501,6972118.0
30502,3189509.5
30503,6309361.5
30504,5816415.5
30505,11217610.0
30506,2947256.25
30507,5033193.5
30508,6151471.5
30509,7294977.5
30510,9660497.0
30511,6331107.5
30512,6538069.0
30513,4528428.5
30514,3787823.0
30515,10258508.0
30516,6293768.0
30517,11178981.0
30518,7999784.0
30519,4746583.5
30520,7126830.0
30521,5645166.0
30522,7696130.0
30523,6647106.0
30524,10298026.0
30525,9234729.0
30526,5139035.5
30527,5230882.5
30528,6626788.0
30529,6526399.5
30530,6611010.0
30531,15364230.0
30532,4947104.5
30533,10257805.0
30534,7194745.5
30535,9964061.0
30536,5938984.5
30537,12076239.0
30538,5245409.5
30539,10171803.0
30540,10064687.0
30541,5697261.0
30542,2430164.25
30543,5709771.0
30544,6837835.5
30545,9097963.0
30546,4381643.5
30547,9569624.0
30548,4696234.0
30549,5386624.0
30550,12190675.0
30551,5314960.0
30552,2014377.625
30553,7097213.5
30554,10495341.0
30555,6597519.5
30556,9380734.0
30557,7936831.5
30558,9589416.0
30559,6074949.0
30560,6037600.0
30561,7147049.0
30562,12865839.0
30563,5189556.5
30564,7181978.5
30565,6786420.5
30566,7500080.5
30567,2305832.5
30568,9855433.0
30569,9846693.0
30570,6528354.5
30571,7823015.0
30572,5166958.5
30573,6485915.5
30574,6440941.0
30575,7610008.0
30576,4906660.0
30577,4302634.5
30578,2948557.25
30579,7381173.5
30580,4620598.0
30581,5667461.5
30582,12450293.0
30583,7192331.5
30584,4353189.0
30585,2827249.25
30586,9269328.0
30587,5951974.0
30588,8631084.0
30589,6909537.0
30590,13047766.0
30591,5457774.5
30592,6944603.0
30593,8208623.5
30594,6793642.5
30595,5649111.0
30596,7156783.5
30597,6485915.5
30598,10008208.0
30599,11622718.0
30600,5146462.0
30601,6503334.5
30602,2202639.0
30603,12244108.0
30604,4594656.0
30605,6632464.5
30606,18094664.0
30607,6858809.5
30608,9453585.0
30609,6283557.0
30610,3124527.0
30611,6173322.5
30612,7488020.5
30613,7956422.5
30614,17689996.0
30615,7962143.5
30616,6182270.5
30617,9311572.0
30618,4895554.0
30619,4319516.0
30620,2804662.75
30621,9500966.0
30622,8005770.5
30623,6490364.5
30624,6766100.0
30625,8203458.0
30626,6421401.0
30627,7852684.5
30628,6374375.0
30629,5382475.0
30630,4779243.0
30631,6559414.0
30632,4204360.0
30633,5846307.0
30634,12010961.0
30635,10035048.0
30636,5689332.5
30637,10229909.0
30638,6188871.0
30639,7780811.5
30640,4669783.0
30641,8683795.0
30642,6696178.5
30643,8107555.5
30644,9978653.0
30645,6982108.0
30646,5253967.0
30647,5232404.0
30648,27634802.0
30649,2686919.25
30650,5080604.0
30651,2988614.5
30652,4590772.0
30653,8363325.0
30654,4882899.0
30655,13748183.0
30656,4049601.0
30657,6538427.5
30658,10162634.0
30659,4908745.5
30660,8504293.0
30661,6723715.0
30662,8665162.0
30663,16837538.0
30664,12959262.0
30665,6307491.0
30666,2970272.25
30667,4288966.0
30668,8635814.0
30669,5127820.0
30670,2625683.25
30671,7901562.0
30672,15805251.0
30673,10572265.0
30674,10918642.0
30675,2314603.5
30676,6956944.5
30677,4270195.0
30678,18476586.0
30679,6206196.5
30680,5567154.0
30681,2380985.0
30682,8588856.0
30683,9955202.0
30684,4691813.0
30685,7078815.0
30686,9878001.0
30687,5086334.5
30688,4653362.0
30689,14032286.0
30690,27457124.0
30691,4680867.5
30692,6256822.0
30693,10604352.0
30694,5416156.0
30695,7549749.0
